s,a,r,sp
104,1,0.0,104
104,1,0.0,104
104,1,0.0,104
104,1,0.0,104
104,1,0.0,447
447,7,0.0,411
411,7,0.0,475
475,7,0.0,475
475,7,0.0,475
475,7,0.0,200
200,2,0.0,475
475,2,0.0,69
69,5,0.0,475
475,5,0.0,720
720,4,0.0,720
720,5,0.0,720
720,5,0.0,720
720,5,0.0,720
720,5,0.0,720
720,5,0.0,720
720,2,0.0,720
720,2,0.0,475
475,2,0.0,519
519,2,0.0,475
475,2,0.0,519
519,2,0.0,292
292,2,0.0,292
292,1,0.0,519
519,2,0.0,519
519,2,0.0,519
519,2,0.0,519
519,2,0.0,475
475,2,0.0,519
519,2,0.0,519
519,2,0.0,519
519,2,0.0,292
292,1,0.0,519
519,1,0.0,292
292,1,0.0,292
292,1,0.0,292
292,1,0.0,292
292,1,0.0,292
292,1,1.0,752
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,317
317,25,0.0,239
239,21,0.0,278
278,10,0.0,538
538,10,0.0,538
538,10,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,5,0.0,742
742,4,0.0,742
742,4,0.0,742
742,4,0.0,742
742,4,0.0,742
742,4,0.0,742
742,4,0.0,742
742,4,0.0,742
742,4,0.0,742
742,4,0.0,742
742,4,0.0,742
742,4,0.0,742
742,4,0.0,742
742,4,0.0,742
742,4,0.0,742
742,4,0.0,742
742,5,0.0,742
742,3,0.0,742
742,2,0.0,742
742,2,0.0,742
742,2,0.0,742
742,2,0.0,742
742,2,0.0,742
742,2,0.0,742
742,2,0.0,742
742,2,0.0,742
742,2,0.0,742
742,2,0.0,742
742,2,0.0,742
742,2,0.0,742
742,2,0.0,742
742,2,0.0,698
698,2,0.0,742
742,2,0.0,742
742,2,0.0,668
668,1,1.0,752
611,1,0.0,187
187,5,0.0,187
187,5,0.0,187
187,5,0.0,187
187,1,0.0,187
187,1,0.0,187
187,21,0.0,187
187,25,0.0,175
175,25,0.0,175
175,5,0.0,175
175,5,0.0,175
175,5,0.0,76
76,5,0.0,175
175,15,0.0,175
175,15,0.0,175
175,13,0.0,175
175,1,0.0,175
175,1,0.0,175
175,25,0.0,175
175,25,0.0,175
175,25,0.0,731
731,25,0.0,731
731,25,0.0,731
731,25,0.0,731
731,25,0.0,731
731,25,0.0,731
731,25,0.0,731
731,25,0.0,731
731,25,0.0,731
731,25,0.0,731
731,25,0.0,731
731,25,0.0,731
731,25,0.0,731
731,25,0.0,731
731,20,0.0,731
731,20,0.0,731
731,20,0.0,731
731,20,0.0,731
731,15,0.0,649
649,15,0.0,649
649,15,0.0,649
649,15,0.0,649
649,15,0.0,649
649,15,0.0,649
649,1,0.0,23
23,1,0.0,578
578,1,0.0,705
705,17,0.0,705
705,20,0.0,705
705,20,0.0,175
175,20,0.0,175
175,20,0.0,175
175,15,0.0,493
493,15,0.0,251
251,1,1.0,752
598,1,0.0,598
598,1,0.0,598
598,1,0.0,598
598,1,0.0,598
598,1,0.0,598
598,1,0.0,36
36,1,0.0,36
36,1,0.0,36
36,25,0.0,161
161,25,0.0,161
161,22,0.0,446
446,22,0.0,161
161,17,0.0,565
565,12,0.0,565
565,12,0.0,565
565,12,0.0,565
565,12,0.0,565
565,12,0.0,565
565,12,0.0,565
565,12,0.0,565
565,12,0.0,565
565,12,0.0,565
565,12,0.0,565
565,12,0.0,565
565,12,0.0,565
565,12,0.0,565
565,12,0.0,565
565,11,0.0,565
565,6,0.0,565
565,8,0.0,565
565,6,0.0,565
565,8,0.0,565
565,6,0.0,565
565,8,0.0,565
565,6,0.0,565
565,6,0.0,565
565,6,0.0,565
565,9,0.0,565
565,7,0.0,565
565,7,0.0,565
565,7,0.0,565
565,7,0.0,565
565,7,0.0,565
565,7,0.0,565
565,7,0.0,565
565,7,0.0,565
565,2,0.0,565
